Timestamp,1. 岗位名称（Job Title）,2. 所属主要职能（可多选）,3. 主要办公地点,ES 监控平台（Cerebro）｜是否使用（单选）,ES 监控平台（Cerebro）｜使用它做什么？（可多选）,ES 监控平台（Cerebro）｜不可访问对你这项工作造成什么影响（单选）,ES 监控平台（Cerebro）｜备注（可选）,任务调度平台（Airflow）｜是否使用（单选）,任务调度平台（Airflow）｜使用它做什么？（可多选）,任务调度平台（Airflow）｜不可访问对你这项工作造成什么影响（单选）,任务调度平台（Airflow）｜备注（可选）,大数据集群管理平台｜是否使用（单选）,大数据集群管理平台｜使用它做什么？（可多选）,大数据集群管理平台｜不可访问对你这项工作造成什么影响（单选）,大数据集群管理平台｜备注（可选）,Grafana 监控平台｜是否使用（单选）,Grafana 监控平台｜使用它做什么？（可多选）,Grafana 监控平台｜不可访问对你这项工作造成什么影响（单选）,Grafana 监控平台｜备注（可选）,Python Web IDE（Jupyter）｜是否使用（单选）,Python Web IDE（Jupyter）｜使用它做什么？（可多选）,Python Web IDE（Jupyter）｜不可访问对你这项工作造成什么影响（单选）,Python Web IDE（Jupyter）｜备注（可选）,Python Web IDE（Jupyter2）｜是否使用（单选）,Python Web IDE（Jupyter2）｜使用它做什么？（可多选）,Python Web IDE（Jupyter2）｜不可访问对你这项工作造成什么影响（单选）,Python Web IDE（Jupyter2）｜备注（可选）,Kibana 平台｜是否使用（单选）,Kibana 平台｜使用它做什么？（可多选）,Kibana 平台｜不可访问对你这项工作造成什么影响（单选）,Kibana 平台｜备注（可选）,Presto 服务运行状态｜是否使用（单选）,Presto 服务运行状态｜使用它做什么？（可多选）,Presto 服务运行状态｜不可访问对你这项工作造成什么影响（单选）,Presto 服务运行状态｜备注（可选）,Prometheus 服务｜是否使用（单选）,Prometheus 服务｜使用它做什么？（可多选）,Prometheus 服务｜不可访问对你这项工作造成什么影响（单选）,Prometheus 服务｜备注（可选）,离线计算集群监控｜是否使用（单选）,离线计算集群监控｜使用它做什么？（可多选）,离线计算集群监控｜不可访问对你这项工作造成什么影响（单选）,离线计算集群监控｜备注（可选）,离线计算集群监控 2｜是否使用（单选）,离线计算集群监控 2｜使用它做什么？（可多选）,离线计算集群监控 2｜不可访问对你这项工作造成什么影响（单选）,离线计算集群监控 2｜备注（可选）,密钥管理平台（Vault）｜是否使用（单选）,密钥管理平台（Vault）｜使用它做什么？（可多选）,密钥管理平台（Vault）｜不可访问对你这项工作造成什么影响（单选）,密钥管理平台（Vault）｜备注（可选）,VictoriaMetrics 平台｜是否使用（单选）,VictoriaMetrics 平台｜使用它做什么？（可多选）,VictoriaMetrics 平台｜不可访问对你这项工作造成什么影响（单选）,VictoriaMetrics 平台｜备注（可选）,测试自动化工具平台（ONES）｜是否使用（单选）,测试自动化工具平台（ONES）｜使用它做什么？（可多选）,测试自动化工具平台（ONES）｜不可访问对你这项工作造成什么影响（单选）,测试自动化工具平台（ONES）｜备注（可选）,统一权限管理平台（OSS IAM）｜是否使用（单选）,统一权限管理平台（OSS IAM）｜使用它做什么？（可多选）,统一权限管理平台（OSS IAM）｜不可访问对你这项工作造成什么影响（单选）,统一权限管理平台（OSS IAM）｜备注（可选）,数仓 DL 平台｜是否使用（单选）,数仓 DL 平台｜使用它做什么？（可多选）,数仓 DL 平台｜不可访问对你这项工作造成什么影响（单选）,数仓 DL 平台｜备注（可选）,Dify AI 工作流平台｜是否使用（单选）,Dify AI 工作流平台｜使用它做什么？（可多选）,Dify AI 工作流平台｜不可访问对你这项工作造成什么影响（单选）,Dify AI 工作流平台｜备注（可选）,数仓查询平台（Hue）｜是否使用（单选）,数仓查询平台（Hue）｜使用它做什么？（可多选）,数仓查询平台（Hue）｜不可访问对你这项工作造成什么影响（单选）,数仓查询平台（Hue）｜备注（可选）,事件统计 / 埋点平台｜是否使用（单选）,事件统计 / 埋点平台｜使用它做什么？（可多选）,事件统计 / 埋点平台｜不可访问对你这项工作造成什么影响（单选）,事件统计 / 埋点平台｜备注（可选）,业务报表平台（聚合）｜是否使用（单选）,业务报表平台（聚合）｜使用它做什么？（可多选）,业务报表平台（聚合）｜不可访问对你这项工作造成什么影响（单选）,业务报表平台（聚合）｜备注（可选）,Tableau Web｜是否使用（单选）,Tableau Web｜使用它做什么？（可多选）,Tableau Web｜不可访问对你这项工作造成什么影响（单选）,Tableau Web｜备注（可选）,内容审核平台｜是否使用（单选）,内容审核平台｜使用它做什么？（可多选）,内容审核平台｜不可访问对你这项工作造成什么影响（单选）,内容审核平台｜备注（可选）,运营平台（含订单 / 支付）｜是否使用（单选）,运营平台（含订单 / 支付）｜使用它做什么？（可多选）,运营平台（含订单 / 支付）｜不可访问对你这项工作造成什么影响（单选）,运营平台（含订单 / 支付）｜备注（可选）,Infobip 短信平台｜是否使用（单选）,Infobip 短信平台｜使用它做什么？（可多选）,Infobip 短信平台｜不可访问对你这项工作造成什么影响（单选）,Infobip 短信平台｜备注（可选）,CM 短信平台｜是否使用（单选）,CM 短信平台｜使用它做什么？（可多选）,CM 短信平台｜不可访问对你这项工作造成什么影响（单选）,CM 短信平台｜备注（可选）,Telesign 短信平台｜是否使用（单选）,Telesign 短信平台｜使用它做什么？（可多选）,Telesign 短信平台｜不可访问对你这项工作造成什么影响（单选）,Telesign 短信平台｜备注（可选）,Firebase｜是否使用（单选）,Firebase｜使用它做什么？（可多选）,Firebase｜不可访问对你这项工作造成什么影响（单选）,Firebase｜备注（可选）,GCP 控制台｜是否使用（单选）,GCP 控制台｜使用它做什么？（可多选）,GCP 控制台｜不可访问对你这项工作造成什么影响（单选）,GCP 控制台｜备注（可选）,AWS 控制台｜是否使用（单选）,AWS 控制台｜使用它做什么？（可多选）,AWS 控制台｜不可访问对你这项工作造成什么影响（单选）,AWS 控制台｜备注（可选）,AppsFlyer｜是否使用（单选）,AppsFlyer｜使用它做什么？（可多选）,AppsFlyer｜不可访问对你这项工作造成什么影响（单选）,AppsFlyer｜备注（可选）,Google Play Console｜是否使用（单选）,Google Play Console｜使用它做什么？（可多选）,Google Play Console｜不可访问对你这项工作造成什么影响（单选）,Google Play Console｜备注（可选）,App Store Connect｜是否使用（单选）,App Store Connect｜使用它做什么？（可多选）,App Store Connect｜不可访问对你这项工作造成什么影响（单选）,App Store Connect｜备注（可选）,平台名称 / 入口（填空）,其他（填空）｜是否使用（单选）,其他（填空）｜使用它做什么？（可多选）,其他（填空）｜不可访问对你这项工作造成什么影响（单选）,其他（填空）｜备注（可选）,其他平台｜平台名称（可选）,其他平台｜使用目的（可选，多选）,信息类型（可多选）,你通常接触的数据规模（单选）,如果无法访问用户级数据，是否仍可完成主要工作？（单选）,（可选备注）,其他想说明 / 建议备注（可选）
1/15/2026 10:20:41,大数据工程师,"数据 / 算法, 系统运维 / DBA",中国大陆（北京）,不使用,,,,使用,"技术开发 / 调试, 数据分析 / 查询",完全无法进行,,使用,系统监控 / 运维,完全无法进行,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,使用,数据分析 / 查询,影响效率（有备选方案）,,不使用,,,,使用,数据分析 / 查询,完全无法进行,,不使用,,,,使用,报表查看（聚合）,影响效率（有备选方案）,,使用,报表查看（聚合）,完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 设备标识符（IDFA / GAID 等）, 精准定位信息, 用户支付 / 订单信息","大规模（10,000+）",部分可以,,
1/15/2026 10:33:28,中台,系统运维 / DBA,中国大陆（北京）,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,"系统监控 / 运维, 配置 / 权限管理",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,不接触任何用户信息,单个或少量用户（<100）,可以,,
1/15/2026 10:37:16,审核,"内容审核 / 风控, 运营, 客服 / 用户支持, 管理 / 支持",中国大陆（广州）,不使用,,,,不使用,,,,不使用,,,,使用,"内容审核 / 用户行为判断, 风控 / 反欺诈",影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不确定,,,,不使用,,,,不使用,,,,使用,数据分析 / 查询,影响效率（有备选方案）,或是把数据需求统一提给数分，由数分处理,不确定,,,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,tableau,使用,"数据分析 / 查询, 内容审核 / 用户行为判断, 风控 / 反欺诈",完全无法进行,,使用,"内容审核 / 用户行为判断, 风控 / 反欺诈, 客服 / 用户支持",完全无法进行,,使用,"客服 / 用户支持, 配置 / 权限管理",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,客服 / 用户支持,影响效率（有备选方案）,由马来西亚员工独立负责,使用,客服 / 用户支持,影响效率（有备选方案）,由马来西亚员工单独负责,,不确定,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 用于真人认证的人脸图片 / 视频 / 生物识别信息, 设备标识符（IDFA / GAID 等）, 精准定位信息, 用户手机号码, 用户支付 / 订单信息","大规模（10,000+）",不可以,,
1/15/2026 10:37:21,QA,技术 / 工程,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,使用,"系统监控 / 运维, 数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,,影响效率（有备选方案）,,使用,,影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,,完全无法进行,,使用,,完全无法进行,,使用,,影响效率（有备选方案）,,使用,,影响效率（有备选方案）,,使用,,完全无法进行,,使用,,完全无法进行,,不确定,,,,不确定,,,,不确定,,,,使用,,影响效率（有备选方案）,,不确定,,,,不确定,,,,不确定,,,,不确定,,,,不确定,,,,,不确定,,,,,,,不清楚,部分可以,,
1/15/2026 10:44:16,广告优化师,市场 / 增长,中国大陆（广州）,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不确定,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,"数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,"数据分析 / 查询, 内容审核 / 用户行为判断",完全无法进行,,使用,接受验证码、自定义匹配用户（做素材用）,影响效率（有备选方案）,若我无权限，需要其他人帮忙操作,不使用,,,,不使用,,,,不使用,,,,使用,"配置 / 权限管理, 配置谷歌事件",影响效率（有备选方案）,若我无权限，需要其他人帮忙操作,不使用,,,,不使用,,,,使用,"数据分析 / 查询, 报表查看（聚合）, 广告调优需要",完全无法进行,,不确定,,,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,其他人帮忙导出数据,https://intl-marketing.p1.cn/duet/uacost,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,tableau有数据也可以解决,https://duet-marketing.winktech.net/duet/hourly-cost,"数据分析 / 查询, 报表查看（聚合）, 实时数据监控","用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 设备标识符（IDFA / GAID 等）","大规模（10,000+）",不可以,,
1/15/2026 10:50:08,PM,产品,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,"内容审核 / 用户行为判断, 运营管理（配置）",影响效率（有备选方案）,,使用,"数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,"报表查看（聚合）, 日常工作使用",完全无法进行,,不使用,,,,使用,"数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,"数据分析 / 查询, 报表查看（聚合）, 内容审核 / 用户行为判断",完全无法进行,,使用,"数据分析 / 查询, 报表查看（聚合）, 内容审核 / 用户行为判断, 运营管理（配置）",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,使用,"配置 / 权限管理, 日常工作需要",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 精准定位信息, 用户手机号码, 用户支付 / 订单信息","大规模（10,000+）",不可以,,
1/15/2026 11:08:35,数据分析,数据 / 算法,中国大陆（广州）,不确定,,,,使用,"技术开发 / 调试, 数据分析 / 查询",完全无法进行,,不使用,,,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,不使用,,,,使用,"技术开发 / 调试, 数据分析 / 查询",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,"技术开发 / 调试, 数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,数据分析 / 查询,完全无法进行,,不确定,,,,使用,"技术开发 / 调试, 数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,"系统监控 / 运维, 技术开发 / 调试, 数据分析 / 查询",完全无法进行,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,"技术开发 / 调试, 数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,数据分析 / 查询,影响效率（有备选方案）,,不确定,,,,不使用,,,,不使用,,,,不使用,,,,不确定,,,,不使用,,,,不使用,,,,使用,数据分析 / 查询,影响效率（有备选方案）,,不确定,,,,不使用,,,,,不使用,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 用于真人认证的人脸图片 / 视频 / 生物识别信息, 设备标识符（IDFA / GAID 等）, 用户支付 / 订单信息","大规模（10,000+）",部分可以,,
1/15/2026 11:10:39,本地化产品运营,产品,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,数据分析 / 查询,影响效率（有备选方案）,,使用,数据分析 / 查询,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,https://app.lokalise.com/project/,"数据分析 / 查询, 报表查看（聚合）, 运营管理（配置）","用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 用于真人认证的人脸图片 / 视频 / 生物识别信息",单个或少量用户（<100）,可以,,
1/15/2026 11:14:21,后端研发,技术 / 工程,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,使用,"系统监控 / 运维, 技术开发 / 调试, 数据分析 / 查询",完全无法进行,,使用,数据分析 / 查询,影响效率（有备选方案）,,不使用,,,,使用,"系统监控 / 运维, 数据分析 / 查询",影响效率（有备选方案）,,使用,"技术开发 / 调试, 数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,使用,"系统监控 / 运维, 数据分析 / 查询",影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,"技术开发 / 调试, 配置 / 权限管理",影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,技术开发 / 调试,完全无法进行,,不确定,,,,不确定,,,,使用,"数据分析 / 查询, 报表查看（聚合）",影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,报表查看（聚合）,影响效率（有备选方案）,,使用,"数据分析 / 查询, 内容审核 / 用户行为判断, 运营管理（配置）, 客服 / 用户支持",完全无法进行,,使用,"技术开发 / 调试, 数据分析 / 查询, 运营管理（配置）, 配置 / 权限管理",完全无法进行,,不确定,,,,不确定,,,,不确定,,,,不使用,,,,使用,"数据分析 / 查询, 配置 / 权限管理",影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,, ,不确定,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 用于真人认证的人脸图片 / 视频 / 生物识别信息, 设备标识符（IDFA / GAID 等）, 精准定位信息, 用户手机号码","大规模（10,000+）",不可以,,
1/15/2026 11:17:05,后端开发工程师,"技术 / 工程, 数据 / 算法",中国大陆（北京）,使用,数据分析 / 查询,影响效率（有备选方案）,,使用,技术开发 / 调试,影响效率（有备选方案）,,使用,"数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,"系统监控 / 运维, 数据分析 / 查询",完全无法进行,,不使用,,,,不使用,,,,不确定,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,使用,"技术开发 / 调试, 数据分析 / 查询, 报表查看（聚合）",完全无法进行,,使用,数据分析 / 查询,影响效率（有备选方案）,,不确定,,,,不使用,,,,不确定,,,,不使用,,,,使用,技术开发 / 调试,完全无法进行,,使用,技术开发 / 调试,影响效率（有备选方案）,,不使用,,,,使用,数据分析 / 查询,完全无法进行,,不确定,,,,不使用,,,,使用,报表查看（聚合）,影响效率（有备选方案）,,使用,数据分析 / 查询,影响效率（有备选方案）,,不确定,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,"用户账号 ID / 昵称, 聊天内容 / 用户生成内容（文本、图片、视频、语音）, 用于真人认证的人脸图片 / 视频 / 生物识别信息, 用户手机号码","大规模（10,000+）",不可以,,
1/15/2026 11:17:37,web,技术 / 工程,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,无影响,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,无影响,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,技术开发 / 调试,无影响,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,技术开发 / 调试,无影响,,使用,技术开发 / 调试,无影响,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,,,,,
1/15/2026 11:31:11,运维,系统运维 / DBA,中国大陆（北京）,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,不使用,,,,不使用,,,,使用,系统监控 / 运维,影响效率（有备选方案）,,不使用,,,,不使用,,,,使用,"系统监控 / 运维, 技术开发 / 调试",完全无法进行,,不使用,,,,使用,技术开发 / 调试,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,使用,数据分析 / 查询,影响效率（有备选方案）,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,使用,系统监控 / 运维,完全无法进行,,使用,"系统监控 / 运维, 配置 / 权限管理",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,,不确定,,,,,,不接触任何用户信息,,可以,,
1/15/2026 12:08:43,增长产品经理,产品,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,使用,"系统监控 / 运维, 数据分析 / 查询",完全无法进行,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不确定,,,,不确定,,,,不使用,,,,不使用,,,,使用,数据分析 / 查询,完全无法进行,,使用,技术开发 / 调试,完全无法进行,,不确定,,,,使用,"系统监控 / 运维, 数据分析 / 查询, 报表查看（聚合）, 运营管理（配置）",完全无法进行,,使用,内容审核 / 用户行为判断,完全无法进行,,使用,"数据分析 / 查询, 运营管理（配置）",完全无法进行,,使用,"系统监控 / 运维, 数据分析 / 查询, 报表查看（聚合）, 运营管理（配置）",完全无法进行,,使用,"系统监控 / 运维, 数据分析 / 查询, 报表查看（聚合）, 运营管理（配置）",完全无法进行,,使用,"系统监控 / 运维, 数据分析 / 查询, 报表查看（聚合）, 运营管理（配置）",完全无法进行,,使用,"技术开发 / 调试, 数据分析 / 查询, 运营管理（配置）",完全无法进行,,不确定,,,,不确定,,,,不确定,,,,不确定,,,,不确定,,,,,不确定,,,,,,"用户账号 ID / 昵称, 用户手机号码","大规模（10,000+）",不可以,,
1/15/2026 15:04:02,产品设计师,设计,中国大陆（北京）,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,不使用,,,,,不使用,,,,,,不接触任何用户信息,不清楚,不可以,,